te	!
jff/	崇
fjcu	嵩
iy	数
jfdy	枢
7j	趨
fjci	雛
jfdu	据
k5	杉
fjco	椙
fjcp	菅
fjch	頗
fjcj	雀
fjck	裾
jfdi	澄
fjcl	摺
7;	寸
ll	世
7a	瀬
jfdo	畝
jfdp	是
fjc;	凄
ju	制
ah	勢
jfdh	姓
jfdj	征
cg	性
jl	成
.c	政
ey	整
u7	星
jfpr	晴
fjcn	棲
fjcm	栖
;n	正
bf	清
jfdk	牲
os	生
h1	盛
do	精
jfpe	聖
sy	声
,k	製
.z	西
jfpw	誠
jfdl	誓
y1	請
jfd;	逝
fjc,	醒
vf	青
pn	静
jfdn	斉
vl	税
fjc.	脆
jfdm	隻
t;	席
jfd,	惜
fjc/	戚
jfd.	斥
ny	昔
i7	析
up	石
qo	積
jfd/	籍
7c	績
fjx6	脊
o2	責
dn	赤
rn	跡
fjx7	蹟
fjx8	碩
df	切
jfsy	拙
yu	接
jfsu	摂
wu	折
jh	設
jfsi	窃
j5	節
zv	説
9t	雪
u5	絶
jfpq	舌
fjx9	蝉
jfso	仙
hm	先
lw	千
3/	占
p7	宣
ch	専
fjx0	尖
,r	川
ij	戦
jfsp	扇
fjxy	撰
jfsh	栓
fjxu	栴
jfpg	泉
xk	浅
yn	洗
jfpf	染
jfsj	潜
fjxi	煎
fjxo	煽
jfsk	旋
fjxp	穿
fjxh	箭
ik	線
m1	繊
fjxj	羨
fjxk	腺
fjxl	舛
ta	船
jfsl	薦
fjx;	詮
fjxn	賎
jfs;	践
j.	選
o7	遷
jfpd	銭
jfsn	銑
fjxm	閃
b9	鮮
lb	前
bq	善
jfsm	漸
fp	然
yx	全
jfs,	禅
jfs.	繕
fjx,	膳
fjx.	糎
fjx/	噌
jfs/	塑
fjz6	岨
jfay	措
fjz7	曾
fjz8	曽
fjz9	楚
fjz0	狙
fjzy	疏
jfau	疎
b6	礎
jfps	祖
jfai	租
jfao	粗
zh	素
h.	組
fjzu	蘇
r0	訴
jfap	阻
fjzi	遡
h7	鼠
jfah	僧
c0	創
jfaj	双
fjzo	叢
gv	倉
jfak	喪
jfal	壮
k7	奏
fjzp	爽
fjzh	宋
r/	層
fjzj	匝
fjzk	惣
fn	想
7w	捜
jfa;	掃
jfan	挿
fjzl	掻
d9	操
vs	早
j7	曹
2n	巣
fjz;	槍
jfam	槽
fjzn	漕
jfa,	燥
gk	争
fjzm	痩
nq	相
5;	窓
fjz,	糟
/,	総
fjz.	綜
fjz/	聡
sl	草
jfa.	荘
jfa/	葬
fjyy	蒼
jfby	藻
dp	装
/3	走
pi	送
jfbu	遭
fjyu	鎗
jfbi	霜
jfbo	騒
jfpa	像
tr	増
jfbp	憎
jfpb	臓
cs	蔵
jfbh	贈
bs	造
jfbj	促
fr	側
a0	則
mp	即
jfpv	息
fjyi	捉
jfpc	束
n5	測
al	足
9r	速
jfbk	俗
9c	属
jfbl	賊
qb	族
rd	続
dz	卒
fjyo	袖
fjyp	其
fjyh	揃
s0	存
jfpx	孫
l7	尊
jfpz	損
nk	村
fjyj	遜
lk	他
jm	多
ea	太
fjyk	汰
9u	詑
fjyl	唾
jfb;	堕
jfbn	妥
jfbm	惰
ko	打
fjy;	柁
fjyn	舵
fjym	楕
fjy,	陀
jfb,	駄
fjy.	騨
;.	体
fjy/	堆
.q	対
jfb.	耐
fjuy	岱
7r	帯
ds	待
jfb/	怠
s,	態
fjuu	戴
1.	替
jfvy	泰
jfvu	滞
jfvi	胎
fjui	腿
fjuo	苔
vj	袋
sm	貸
tz	退
jfvo	逮
ru	隊
fjup	黛
fjuh	鯛
lq	代
/m	台
;c	大
.t	第
fjuj	醍
jy	題
fjuk	鷹
jfvp	滝
fjul	瀧
jfvh	卓
fju;	啄
as	宅
fjun	托
l.	択
jfvj	拓
xf	沢
jfvk	濯
fjum	琢
jfvl	託
fju,	鐸
9y	濁
jfv;	諾
fju.	茸
fju/	凧
fjiy	蛸
fjiu	只
fjii	叩
jfvn	但
rm	達
fjio	辰
jfvm	奪
g7	脱
fjip	巽
fjih	竪
fjij	辿
jfv,	棚
;i	谷
fjik	狸
fjil	鱈
fji;	樽
g.	誰
v9	丹
b/	単
jfv.	嘆
fjin	坦
y/	担
o1	探
fjim	旦
fji,	歎
jfv/	淡
fji.	湛
8q	炭
my	短
q7	端
fji/	箪
fjoy	綻
fjou	耽
jfcy	胆
fjoi	蛋
jfht	誕
jfcu	鍛
n,	団
jfci	壇
jfco	弾
eo	断
jfhr	暖
fjoo	檀
s;	段
pj	男
py	談
vx	値
ii	知
/f	地
fjop	弛
jfcp	恥
fjoh	智
gf	池
jfch	痴
jfcj	稚
w;	置
4h	致
fjoj	蜘
2h	遅
fjok	馳
dl	築
jfck	畜
q,	竹
fjol	筑
9i	蓄
jfcl	逐
jfc;	秩
jfcn	窒
cy	茶
jfcm	嫡
v;	着
ya	中
xy	仲
jfhe	宙
9s	忠
jfc,	抽
7q	昼
jfhw	柱
w,	注
9p	虫
jfc.	衷
fjo;	註
fjon	酎
jfc/	鋳
x9	駐
fjom	樗
fjo,	瀦
fjo.	猪
fjo/	苧
e6	著
9o	貯
wb	丁
jfhq	兆
fjpy	凋
fjpu	喋
fjpi	寵
fjpo	帖
p9	帳
wn	庁
jfxy	弔
wj	張
jfxu	彫
2y	徴
jfxi	懲
jfxo	挑
fjpp	暢
ui	朝
jfhg	潮
fjph	牒
iz	町
jfxp	眺
jfxh	聴
jfxj	脹
jfhd	腸
fjpj	蝶
h,	調
fjpk	諜
jfxk	超
jfxl	跳
fjpl	銚
.g	長
jfhs	頂
8a	鳥
jfx;	勅
fjp;	捗
fv	直
jfxn	朕
9h	沈
jfxm	珍
wy	賃
jfx,	鎮
jfx.	陳
c.	津
jfx/	墜
fjpn	椎
fjpm	槌
eu	追
fjp,	鎚
w0	痛
hx	通
/u	塚
fjp.	栂
fjp/	掴
fjhy	槻
fjhu	佃
jfzy	漬
fjhi	柘
fjho	辻
fjhp	蔦
fjhh	綴
fjhj	鍔
fjhk	椿
fjhl	潰
jfzu	坪
fjh;	壷
fjhn	嬬
fjhm	紬
9l	爪
fjh,	吊
jfzi	釣
2j	鶴
jfzo	亭
ro	低
ql	停
jfzp	偵
fjh.	剃
jfzh	貞
jfzj	呈
jfzk	堤
pa	定
qc	帝
f6	底
x;	庭
jfzl	廷
jfha	弟
fjh/	悌
jfz;	抵
fjjy	挺
ep	提
fjju	梯
fjji	汀
fjjo	碇
fjjp	禎
wo	程
jfzn	締
jfzm	艇
jfz,	訂
fjjh	諦
fjjj	蹄
jfz.	逓
jfz/	邸
fjjk	鄭
fjjl	釘
fjj;	鼎
jfyy	泥
jfyu	摘
fjjn	擢
jfhb	敵
jfyi	滴
,q	的
jfhv	笛
zr	適
fjjm	鏑
fjj,	溺
jfyo	哲
9k	徹
jfyp	撤
fjj.	轍
jfyh	迭
jj	鉄
6s	典
fjj/	填
kl	天
s.	展
yz	店
9j	添
fjky	纏
fjku	甜
fjki	貼
zg	転
fjko	顛
ol	点
z;	伝
jfyj	殿
fjkp	澱
jb	田
.f	電
fjkh	兎
jfyk	吐
fjkj	堵
jfyl	塗
fjkk	妬
fjkl	屠
j3	徒
jfy;	斗
fjk;	杜
wz	渡
rz	登
fjkn	菟
fjkm	賭
4u	途
.b	都
fjk,	鍍
fjk.	砥
fjk/	砺
d6	努
;k	度
sd	土
jfyn	奴
jfym	怒
s9	倒
k.	党
jfhc	冬
jfy,	凍
jfhx	刀
jfy.	唐
jfy/	塔
fjly	塘
fjlu	套
fjli	宕
oq	島
fjlo	嶋
jfuy	悼
zd	投
jfuu	搭
is	東
jfui	桃
fjlp	梼
jfuo	棟
0z	盗
fjlh	淘
0q	湯
fjlj	涛
jfhz	灯
fjlk	燈
nx	当
jfup	痘
fjll	祷
zk	等
r.	答
jfuh	筒
p3	糖
fi	統
jfuj	到
fjl;	董
fjln	蕩
lh	藤
im	討
jfuk	謄
4,	豆
jful	踏
4o	逃
jfu;	透
fjlm	鐙
9;	陶
sc	頭
jfun	騰
8e	闘
/i	働
pc	動
;x	同
g/	堂
xi	導
fjl,	憧
fjl.	撞
jfum	洞
8;	瞳
jfjt	童
jfu,	胴
fjl/	萄
mz	道
jfjr	銅
jfu.	峠
fj;y	鴇
jfu/	匿
tj	得
qz	徳
fj;u	涜
li	特
rv	督
fj;i	禿
jfiy	篤
jfje	毒
d/	独
qv	読
fj;o	栃
fj;p	橡
jfiu	凸
k1	突
fj;h	椴
jfjw	届
fj;j	鳶
fj;k	苫
fj;l	寅
fj;;	酉
fj;n	瀞
fj;m	噸
jfii	屯
fj;,	惇
fj;.	敦
fj;/	沌
jfio	豚
fjny	遁
fjnu	頓
fjni	呑
jfip	曇
jfih	鈍
9e	奈
fjno	那
ne	内
fjnp	乍
fjnh	凪
fjnj	薙
fjnk	謎
fjnl	灘
fjn;	捺
fjnn	鍋
fjnm	楢
fjn,	馴
jfij	縄
fjn.	畷
uh	南
fjn/	楠
jfik	軟
,p	難
fjmy	汝
;r	二
o9	尼
jfil	弐
fjmu	迩
fjmi	匂
fjmo	賑
l5	肉
fjmp	虹
fjmh	廿
kr	日
0s	乳
/t	入
i9	如
jfi;	尿
fjmj	韮
dy	任
jfin	妊
jfim	忍
ci	認
fjmk	濡
fjml	禰
fjm;	祢
jfi,	寧
fjmn	葱
jfi.	猫
tc	熱
;t	年
.i	念
fjmm	捻
fjm,	撚
jfjq	燃
jfi/	粘
u9	乃
fjm.	廼
zm	之
fjm/	埜
fj,y	嚢
jfoy	悩
jfou	濃
2o	納
er	能
4m	脳
fj,u	膿
tq	農
fj,i	覗
fj,o	蚤
0l	巴
5q	把
fj,p	播
jfoi	覇
fj,h	杷
bn	波
bv	派
fj,j	琶
7x	破
jfoo	婆
fj,k	罵
fj,l	芭
jfjg	馬
jfjs	俳
jfop	廃
jfja	拝
jfoh	排
/y	敗
jfoj	杯
fj,;	盃
fj,n	牌
v0	背
jfjb	肺
jfok	輩
dc	配
d0	倍
jfol	培
jfo;	媒
jfjc	梅
fj,m	楳
fj,,	煤
fj,.	狽
ww	買
mb	売
jfon	賠
jfom	陪
fj,/	這
fj.y	蝿
fj.u	秤
fj.i	矧
fj.o	萩
jfo,	伯
fj.p	剥
7s	博
jfo.	拍
fj.h	柏
jfo/	泊
st	白
fj.j	箔
fj.k	粕
jfpy	舶
jfpu	薄
1m	迫
fj.l	曝
jfpi	漠
zy	爆
jfpo	縛
fj.;	莫
fj.n	駁
jfjx	麦
fj.m	函
4/	箱
fj.,	硲
fj..	箸
fj./	肇
fj/y	筈
fj/u	櫨
0x	幡
jfpp	肌
jfjz	畑
fj/i	畠
,e	八
jfph	鉢
fj/o	溌
or	発
fj/p	醗
jfpj	髪
5w	伐
jfpk	罰
w/	抜
fj/h	筏
jfpl	閥
fj/j	鳩
fj/k	噺
fj/l	塙
fj/;	蛤
fj/n	隼
jfp;	伴
zx	判
vd	半
./	反
fj/m	叛
jfpn	帆
jfpm	搬
fj/,	斑
zl	板
fj/.	氾
5h	汎
,o	版
6g	犯
jfkt	班
jfp,	畔
2k	繁
bo	般
5t	藩
dm	販
7b	範
fj//	釆
jfp.	煩
jfp/	頒
jfkr	飯
fjy5	挽
jfke	晩
db	番
6r	盤
fjy4	磐
fjy3	蕃
jfhy	蛮
fjy2	匪
5r	卑
2i	否
jfhu	妃
fjy1	庇
cq	彼
jfkw	悲
jfhi	扉
z8	批
jfho	披
fjyt	斐
by	比
jfhp	泌
jfhh	疲
b0	皮
jfhj	碑
o5	秘
fjyr	緋
jfhk	罷
jfkq	肥
x7	被
fjye	誹
oo	費
5e	避
vp	非
bl	飛
fjyw	樋
fjyq	簸
uu	備
bi	尾
jfhl	微
fjyg	枇
fjyf	毘
fjyd	琵
fjys	眉
hy	美
jfkg	鼻
fjya	柊
fjyb	稗
jfh;	匹
fjyv	疋
fjyc	髭
,4	彦
fjyx	膝
5a	菱
fjyz	肘
fju5	弼
sh	必
fju4	畢
4i	筆
fju3	逼
fju2	桧
jfhn	姫
fju1	媛
5s	紐
ow	百
fjut	謬
jfkf	俵
fjur	彪
0f	標
jfkd	氷
jfhm	漂
fjue	瓢
e0	票
ln	表
ty	評
fjuw	豹
fjuq	廟
5d	描
qh	病
6b	秒
jfh,	苗
fjug	錨
fjuf	鋲
fjud	蒜
fjus	蛭
fjua	鰭
kp	品
fjub	彬
fjuv	斌
jfh.	浜
fjuc	瀕
jfks	貧
jfh/	賓
jfjy	頻
jfju	敏
jfji	瓶
nc	不
nw	付
fjux	埠
,,	夫
a;	婦
dv	富
fjuz	冨
y4	布
sv	府
jfjo	怖
jfjp	扶
tp	敷
fji5	斧
.p	普
jfjh	浮
m2	父
jfjj	符
jfjk	腐
jfjl	膚
fji4	芙
jfj;	譜
xo	負
jfjn	賦
jfjm	赴
fji3	阜
jfj,	附
jfj.	侮
fji2	撫
qe	武
j4	舞
fji1	葡
fjit	蕪
uc	部
jfj/	封
fjir	楓
qr	風
fjie	葺
fjiw	蕗
jfky	伏
8f	副
y.	復
7z	幅
ay	服
vb	福
jfka	腹
5u	複
jfku	覆
fjiq	淵
fjig	弗
x,	払
jfki	沸
9d	仏
ph	物
fjif	鮒
hw	分
fjid	吻
jfko	噴
jfkp	墳
5f	憤
fjis	扮
fjia	焚
jfkb	奮
jfkv	粉
fjib	糞
jfkh	紛
jfkj	雰
;l	文
tg	聞
jfkk	丙
b8	併
xh	兵
jfkl	塀
jfk;	幣
.h	平
5g	弊
f9	柄
u.	並
fjiv	蔽
jfkc	閉
jfkx	陛
,;	米
fjic	頁
fjix	僻
jfkn	壁
jfkm	癖
fjiz	碧
ca	別
fjo5	瞥
fjo4	蔑
fjo3	箆
jfk,	偏
au	変
e9	片
fjo2	篇
fm	編
/p	辺
tb	返
jfk.	遍
bp	便
4p	勉
fjo1	娩
/5	弁
fjot	鞭
pe	保
a8	舗
fjor	鋪
fjoe	圃
;1	捕
yq	歩
fjow	甫
p,	補
fjoq	輔
jfk/	穂
pp	募
jfkz	墓
jfly	慕
fjog	戊
2p	暮
zt	母
jflu	簿
fjof	菩
jfli	倣
jflo	俸
1o	包
fjod	呆
aq	報
q5	奉
fk	宝
jflp	峰
fjos	峯
jflh	崩
fjoa	庖
jflj	抱
fjob	捧
dw	放
.s	方
fjov	朋
uy	法
jflk	泡
fjoc	烹
jfll	砲
jfl;	縫
jfln	胞
jflm	芳
fjox	萌
fjoz	蓬
fjp5	蜂
jfl,	褒
ex	訪
gy	豊
h4	邦
fjp4	鋒
jfl.	飽
fjp3	鳳
fjp2	鵬
jfl/	乏
jflt	亡
jf;y	傍
jf;u	剖
jf;i	坊
jf;o	妨
jf;p	帽
um	忘
jf;h	忙
6c	房
g8	暴
fb	望
w5	某
jflr	棒
jf;j	冒
jf;k	紡
jf;l	肪
jf;;	膨
jf;n	謀
e5	貌
6w	貿
fjp1	鉾
rj	防
fjpt	吠
fjpr	頬
pb	北
jf;m	僕
r5	卜
jf;,	墨
jf;.	撲
jf;/	朴
jfle	牧
fjpe	睦
fjpw	穆
fjpq	釦
fjpg	勃
jfny	没
fjpf	殆
8g	堀
fjpd	幌
jfnu	奔
yg	本
jfni	翻
jfno	凡
jfnp	盆
jfnh	摩
jfnj	磨
jfnk	魔
0b	麻
jfnl	埋
jflw	妹
fjps	昧
,2	枚
bb	毎
fjpa	哩
fjpb	槙
jflq	幕
jfn;	膜
fjpv	枕
fjpc	鮪
fjpx	柾
fjpz	鱒
fjh5	桝
fjh4	亦
fjh3	俣
/4	又
jfnn	抹
xm	末
fjh2	沫
fjh1	迄
fjht	侭
jfnm	繭
fjhr	麿
,s	万
0y	慢
x.	満
jfn,	漫
fjhe	蔓
dk	味
eb	未
jfn.	魅
0k	巳
fjhw	箕
jfn/	岬
i5	密
fjhq	蜜
fjhg	湊
fjhf	蓑
fjhd	稔
jflg	脈
jfmy	妙
fjhs	粍
ul	民
jfmu	眠
iq	務
3l	夢
yp	無
fjha	牟
jfmi	矛
jfmo	霧
fjhb	鵡
fjhv	椋
jfmp	婿
jfmh	娘
fjhc	冥
mr	名
bk	命
px	明
9f	盟
0u	迷
jfmj	銘
jfld	鳴
fjhx	姪
fjhz	牝
jfmk	滅
bm	免
fjj5	棉
9v	綿
fjj4	緬
,c	面
fjj3	麺
fjj2	摸
,3	模
3n	茂
jfml	妄
fjj1	孟
zj	毛
jfm;	猛
jfmn	盲
jfmm	網
jfm,	耗
fjjt	蒙
fjjr	儲
pw	木
jfm.	黙
.v	目
fjje	杢
fjjw	勿
fjjq	餅
fjjg	尤
0i	戻
fjjd	籾
fjjs	貰
yb	問
fjja	悶
jfm/	紋
rg	門
jf,y	匁
fjjb	也
fjjv	冶
fq	夜
fjjc	爺
fjjx	耶
lx	野
fjjz	弥
5/	矢
jf,u	厄
gi	役
.l	約
ej	薬
/1	訳
jf,i	躍
fjk5	靖
jf,o	柳
fjk4	薮
fjk3	鑓
jf,p	愉
fjk2	愈
jfls	油
jf,h	癒
jf,j	諭
aj	輸
jf,k	唯
fjk1	佑
hp	優
jfla	勇
sz	友
fjkt	宥
jf,l	幽
jf,;	悠
jf,n	憂
fjkr	揖
;h	有
fjke	柚
fjkw	湧
fjkq	涌
jf,m	猶
fjkg	猷
rw	由
fjkf	祐
jf,,	裕
jf,.	誘
b.	遊
fjkd	邑
e7	郵
ws	雄
rx	融
0e	夕
sf	予
7g	余
/.	与
jf,/	誉
fjks	輿
jflb	預
fjka	傭
jflv	幼
fjkb	妖
el	容
jf.y	庸
jf.u	揚
jf.i	揺
jf.o	擁
bu	曜
fjkv	楊
s/	様
ly	洋
jf.p	溶
fjkc	熔
kn	用
jf.h	窯
0o	羊
fjkx	耀
vv	葉
fjkz	蓉
hh	要
7d	謡
jf.j	踊
fjl5	遥
zu	陽
t.	養
fjl4	慾
jf.k	抑
1n	欲
fjl3	沃
qi	浴
jflc	翌
jf.l	翼
fjl2	淀
jf.;	羅
fjl1	螺
jf.n	裸
,j	来
fjlt	莱
3o	頼
jf.m	雷
fjlr	洛
5j	絡
vk	落
jf.,	酪
.2	乱
jflx	卵
fjle	嵐
y0	欄
jf..	濫
fjlw	藍
fjlq	蘭
jflz	覧
et	利
jf./	吏
vo	履
fjlg	李
fjlf	梨
mx	理
fjld	璃
jf/y	痢
cw	裏
fjls	裡
5i	里
0v	離
u/	陸
jf;t	律
vy	率
pr	立
fjla	葎
fjlb	掠
i0	略
fjlv	劉
gj	流
fjlc	溜
fjlx	琉
1,	留
jf/u	硫
jf/i	粒
jf/o	隆
v8	竜
u0	龍
fjlz	侶
o0	慮
cu	旅
jf/p	虜
ec	了
fj;5	亮
jf/h	僚
ee	両
fj;4	凌
bh	寮
ad	料
fj;3	梁
jf/j	涼
jf/k	猟
0g	療
fj;2	瞭
fj;1	稜
jf/l	糧
bj	良
fj;t	諒
fj;r	遼
be	量
jf/;	陵
wl	領
lj	力
jf;r	緑
jf/n	倫
jf/m	厘
jf;e	林
fj;e	淋
fj;w	燐
fj;q	琳
b7	臨
a9	輪
9w	隣
fj;g	鱗
fj;f	麟
fj;d	瑠
jf/,	塁
jf/.	涙
p0	累
xr	類
ap	令
fj;s	伶
z.	例
p.	冷
jf//	励
fj;a	嶺
fj;b	怜
fj;v	玲
w6	礼
fj;c	苓
wv	鈴
jf;w	隷
jf;q	零
jf;g	霊
jf;f	麗
jf;d	齢
jf;s	暦
/q	歴
2,	列
jf;a	劣
jf;b	烈
jf;v	裂
jf;c	廉
3m	恋
fj;x	憐
fj;z	漣
fjn5	煉
fjn4	簾
,i	練
fjn3	聯
fjn2	蓮
hj	連
jf;x	錬
fjn1	呂
fjnt	魯
fjnr	櫓
jf;z	炉
fjne	賂
rh	路
jfnt	露
di	労
fjnw	婁
jfnr	廊
fjnq	弄
5n	朗
jfne	楼
fjng	榔
jfnw	浪
jfnq	漏
fjnf	牢
fjnd	狼
fjns	篭
5m	老
fjna	聾
fjnb	蝋
oy	郎
ic	六
fjnv	麓
fjnc	禄
fjnx	肋
sn	録
rr	論
fjnz	倭
ot	和
yk	話
fjm5	歪
jfng	賄
fjm4	脇
jfnf	惑
jfnd	枠
fjm3	鷲
fjm2	亙
fjm1	亘
fjmt	鰐
fjmr	詫
fjme	藁
fjmw	蕨
fjmq	椀
jfns	湾
fjmg	碗
f8	腕
fjmf	丼
fjmd	傲
fjms	刹
fjma	哺
fjmb	喩
fjmv	嗅
fjmc	嘲
fjmx	毀
0j	已
fjmz	彙
fj,5	恣
fj,4	惧
fj,3	慄
fj,2	憬
fj,1	拉
fj,t	摯
fj,r	曖
fj,e	楷
fj,w	鬱
fj,q	璧
fj,g	瘍
fj,f	箋
fj,d	籠
fj,s	緻
fj,a	羞
fj,b	訃
fj,v	諧
fj,c	貪
fj,x	踪
fj,z	辣
fj.5	錮
